album_title,genres,critic_score,user_score,track_number,track_title,track_length,featured_artists,track_rating,track_rating_count,release_year,release_month,spotify_found,spotify_query,track_id,track_uri,popularity,danceability,energy,valence,tempo,loudness,speechiness,instrumentalness,liveness,acousticness
The College Dropout,"Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,1,Intro,0:19,,78,1909,2004,2,1,"track:""Intro""",2QAnRdO7qTAoY0XsqB5gcS,spotify:track:2QAnRdO7qTAoY0XsqB5gcS,53.0,,,,,,,,,
The College Dropout,"Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,2,We Don't Care,3:59,,93,4583,2004,2,1,"track:""We Don't Care""",0IW0qaeyxL5Et4UG2MrJKB,spotify:track:0IW0qaeyxL5Et4UG2MrJKB,67.0,,,,,,,,,
The College Dropout,"Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,3,Graduation Day,1:21,,82,2357,2004,2,1,"track:""Graduation Day""",7wL7Lb8Q3aYyq6gmRL0PZq,spotify:track:7wL7Lb8Q3aYyq6gmRL0PZq,55.0,,,,,,,,,
The College Dropout,"Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,4,All Falls Down,3:43,Syleena Johnson,96,4685,2004,2,1,"track:""All Falls Down""",5SkRLpaGtvYPhw02vZhQQ9,spotify:track:5SkRLpaGtvYPhw02vZhQQ9,84.0,,,,,,,,,
The College Dropout,"Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,5,I'll Fly Away,1:09,,83,2470,2004,2,1,"track:""I'll Fly Away""",4rJtUMlnhJzlzlnxyoc3tb,spotify:track:4rJtUMlnhJzlzlnxyoc3tb,57.0,,,,,,,,,
The College Dropout,"Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,6,Spaceship,5:24,"GLC, Consequence",94,4548,2004,2,1,"track:""Spaceship""",4JAwaqKeJ1hbyhvUjAQad8,spotify:track:4JAwaqKeJ1hbyhvUjAQad8,47.0,,,,,,,,,
The College Dropout,"Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,7,Jesus Walks,3:13,,96,4575,2004,2,1,"track:""Jesus Walks""",5g1vtHqi9uV7xtYeCcFOBx,spotify:track:5g1vtHqi9uV7xtYeCcFOBx,71.0,,,,,,,,,
The College Dropout,"Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,8,Never Let Me Down,5:24,"JAY-Z, J. Ivy",91,4413,2004,2,1,"track:""Never Let Me Down""",0s1QJOcvZKjSp3QrtAsRuh,spotify:track:0s1QJOcvZKjSp3QrtAsRuh,46.0,,,,,,,,,
The College Dropout,"Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,9,Get Em High,4:49,"Talib Kweli, Common",86,4314,2004,2,1,"track:""Get Em High""",5b2FFKC64kxqcfaFnIZxoM,spotify:track:5b2FFKC64kxqcfaFnIZxoM,60.0,,,,,,,,,
The College Dropout,"Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,10,Workout Plan,0:46,,74,1927,2004,2,1,"track:""Workout Plan""",2a1JSfTePKhysdIif2bzut,spotify:track:2a1JSfTePKhysdIif2bzut,51.0,,,,,,,,,
