year,month,date,rolling_2m
2004,1,2004-01-01,67.4301299838362
2004,2,2004-02-01,67.4301299838362
2004,3,2004-03-01,48.44117525776137
2004,4,2004-04-01,36.99647484917661
2004,5,2004-05-01,44.540729166666665
2004,6,2004-06-01,43.26195470925083
2004,7,2004-07-01,36.104440650974915
2004,8,2004-08-01,31.405036227563254
2004,9,2004-09-01,37.51604171562231
2004,10,2004-10-01,37.90497178726133
2004,11,2004-11-01,38.95148035747819
2004,12,2004-12-01,45.436864434355016
2005,1,2005-01-01,30.084962524632797
2005,2,2005-02-01,24.45098760615617
2005,3,2005-03-01,43.728393216536276
2005,4,2005-04-01,47.54518099661
2005,5,2005-05-01,44.44110757931446
2005,6,2005-06-01,41.610475909234744
2005,7,2005-07-01,39.27426846277319
2005,8,2005-08-01,54.47065241215223
2005,9,2005-09-01,50.8785446274276
2005,10,2005-10-01,38.38733564862598
2005,11,2005-11-01,37.36736366313428
2005,12,2005-12-01,26.04951406742852
2006,1,2006-01-01,27.984526991129414
2006,2,2006-02-01,32.71504880349749
2006,3,2006-03-01,31.317644003923647
2006,4,2006-04-01,32.82462342416267
2006,5,2006-05-01,36.18402933546125
2006,6,2006-06-01,40.081043370886874
2006,7,2006-07-01,37.12794914413695
2006,8,2006-08-01,39.950530124234035
2006,9,2006-09-01,42.610411565282035
2006,10,2006-10-01,41.9794434333506
2006,11,2006-11-01,43.02595200356747
2006,12,2006-12-01,29.188827256944446
2007,1,2007-01-01,27.674050093845246
2007,2,2007-02-01,37.50601653992105
2007,3,2007-03-01,35.15347241391463
2007,4,2007-04-01,28.309049711638423
2007,5,2007-05-01,32.17637100074405
2007,6,2007-06-01,44.83716246820765
2007,7,2007-07-01,34.19442199709023
2007,8,2007-08-01,23.255248224431817
2007,9,2007-09-01,32.38321153245004
2007,10,2007-10-01,32.99093050249908
2007,11,2007-11-01,35.40184293328664
2007,12,2007-12-01,37.48486901137522
2008,1,2008-01-01,31.659714471856034
2008,2,2008-02-01,39.61170989483583
2008,3,2008-03-01,44.540729166666665
2008,4,2008-04-01,24.47068616452991
2008,5,2008-05-01,25.28649466227855
2008,6,2008-06-01,29.194659230031405
2008,7,2008-07-01,30.847923634667644
2008,8,2008-08-01,29.40883196929967
2008,9,2008-09-01,28.74580374242074
2008,10,2008-10-01,35.39070047038969
2008,11,2008-11-01,38.40443624977547
2008,12,2008-12-01,29.290466619421647
2009,1,2009-01-01,27.34819360732238
2009,2,2009-02-01,42.08206759312996
2009,3,2009-03-01,39.9283463291266
2009,4,2009-04-01,29.64024503519892
2009,5,2009-05-01,34.97420702580774
2009,6,2009-06-01,38.08579683289336
2009,7,2009-07-01,42.12894244341621
2009,8,2009-08-01,43.5600928753022
2009,9,2009-09-01,44.02330591692282
2009,10,2009-10-01,39.48056567795121
2009,11,2009-11-01,31.03259992779224
2009,12,2009-12-01,19.618511538845084
2010,1,2010-01-01,29.629691535184953
2010,2,2010-02-01,48.08277647662574
2010,3,2010-03-01,40.71025179238242
2010,4,2010-04-01,39.789589369550285
2010,5,2010-05-01,32.70545632121707
2010,6,2010-06-01,32.17637100074405
2010,7,2010-07-01,43.49422059644981
2010,8,2010-08-01,42.44771202623294
2010,9,2010-09-01,46.33299970204337
2010,10,2010-10-01,37.20788760879259
2010,11,2010-11-01,37.40766939953815
2010,12,2010-12-01,38.568332156243734
2011,1,2011-01-01,25.108056931887205
2011,2,2011-02-01,33.0725062684324
2011,3,2011-03-01,45.436864434355016
2011,4,2011-04-01,45.99047690997182
2011,5,2011-05-01,36.77126390665209
2011,6,2011-06-01,27.687679809792385
2011,7,2011-07-01,37.80302808080047
2011,8,2011-08-01,43.92208727125582
2011,9,2011-09-01,41.9794434333506
2011,10,2011-10-01,38.49546184939241
2011,11,2011-11-01,27.177612253686657
2011,12,2011-12-01,19.81201283482143
2012,1,2012-01-01,32.24224327959645
2012,2,2012-02-01,43.29021940243195
2012,3,2012-03-01,41.70956996048035
2012,4,2012-04-01,30.661593837644848
2012,5,2012-05-01,31.129862430527186
2012,6,2012-06-01,36.349220862538935
2012,7,2012-07-01,37.461601711608196
2012,8,2012-08-01,38.647866372040525
2012,9,2012-09-01,37.06721693008892
2012,10,2012-10-01,36.205323081569524
2012,11,2012-11-01,37.72010024466873
