year,month,era,key_event,category,mental_state,intensity,source,track_theme,_themes_list,matched_themes,matched_tracks,n_tracks,event_coef_mean,event_coef_median,event_coef_min,event_coef_max,matched_themes_str,matched_tracks_str
2004,1,College Dropout Era,Finishing The College Dropout,music,creative_peak,4,Pitchfork,"college expulsion, drug propaganda","['college expulsion', 'drug propaganda']","['college expulsion', 'drug propaganda']","[{'track': np.float64(2.0), 'coef': 81.0}]",1,81.0,81.0,81.0,81.0,"college expulsion, drug propaganda",2.0 (81.000)
2004,2,College Dropout Era,Release of The College Dropout,music,joy,5,Billboard,"college expulsion, drug propaganda","['college expulsion', 'drug propaganda']","['college expulsion', 'drug propaganda']","[{'track': np.float64(2.0), 'coef': 81.0}]",1,81.0,81.0,81.0,81.0,"college expulsion, drug propaganda",2.0 (81.000)
2004,3,College Dropout Era,Through the Wire success,music,joy,4,RollingStone,"success, hustle, self-worth","['success', 'hustle', 'self-worth']","['success', 'hustle', 'self-worth']","[{'track': np.float64(68.0), 'coef': 91.0}, {'track': np.float64(26.0), 'coef': 84.0}, {'track': np.float64(34.0), 'coef': 84.0}, {'track': np.float64(37.0), 'coef': 84.0}, {'track': np.float64(9.0), 'coef': 81.0}, {'track': np.float64(111.0), 'coef': 77.0}, {'track': np.float64(46.0), 'coef': 76.0}, {'track': np.float64(47.0), 'coef': 76.0}, {'track': np.float64(48.0), 'coef': 76.0}, {'track': np.float64(81.0), 'coef': 74.0}, {'track': np.float64(82.0), 'coef': 74.0}, {'track': np.float64(83.0), 'coef': 74.0}, {'track': np.float64(154.0), 'coef': 59.0}, {'track': np.float64(192.0), 'coef': 43.0}]",14,75.21428571428571,76.0,43.0,91.0,"success, hustle, self-worth",68.0 (91.000); 26.0 (84.000); 34.0 (84.000); 37.0 (84.000); 9.0 (81.000); 111.0 (77.000); 46.0 (76.000); 47.0 (76.000); 48.0 (76.000); 81.0 (74.000); 82.0 (74.000); 83.0 (74.000); 154.0 (59.000); 192.0 (43.000)
2004,4,College Dropout Era,First major tour,music,creative_peak,3,Variety,"intro, start","['intro', 'start']","['intro', 'start']","[{'track': np.float64(21.0), 'coef': 84.0}, {'track': np.float64(0.0), 'coef': 81.0}]",2,82.5,82.5,81.0,84.0,"intro, start",21.0 (84.000); 0.0 (81.000)
2004,5,College Dropout Era,Beginning of GOOD Music,music,creative_peak,4,Guardian,"intro, start","['intro', 'start']","['intro', 'start']","[{'track': np.float64(21.0), 'coef': 84.0}, {'track': np.float64(0.0), 'coef': 81.0}]",2,82.5,82.5,81.0,84.0,"intro, start",21.0 (84.000); 0.0 (81.000)
2004,6,College Dropout Era,More touring and promo,music,neutral,2,-- ,"ego, fame, downfall","['ego', 'fame', 'downfall']","['ego', 'fame', 'downfall']","[{'track': np.float64(67.0), 'coef': 91.0}, {'track': np.float64(69.0), 'coef': 91.0}, {'track': np.float64(71.0), 'coef': 91.0}, {'track': np.float64(72.0), 'coef': 91.0}, {'track': np.float64(33.0), 'coef': 84.0}, {'track': np.float64(131.0), 'coef': 84.0}, {'track': np.float64(105.0), 'coef': 77.0}, {'track': np.float64(106.0), 'coef': 77.0}, {'track': np.float64(119.0), 'coef': 77.0}, {'track': np.float64(48.0), 'coef': 76.0}, {'track': np.float64(50.0), 'coef': 76.0}, {'track': np.float64(53.0), 'coef': 76.0}, {'track': np.float64(47.0), 'coef': 76.0}, {'track': np.float64(66.0), 'coef': 74.0}, {'track': np.float64(122.0), 'coef': 65.0}, {'track': np.float64(124.0), 'coef': 65.0}, {'track': np.float64(155.0), 'coef': 59.0}, {'track': np.float64(172.0), 'coef': 59.0}, {'track': np.float64(177.0), 'coef': 46.0}, {'track': np.float64(181.0), 'coef': 46.0}, {'track': np.float64(189.0), 'coef': 46.0}, {'track': np.float64(190.0), 'coef': 43.0}, {'track': np.float64(200.0), 'coef': 43.0}, {'track': np.float64(201.0), 'coef': 43.0}, {'track': np.float64(204.0), 'coef': 43.0}, {'track': np.float64(213.0), 'coef': 40.0}]",26,66.88461538461539,75.0,40.0,91.0,"ego, fame, downfall",67.0 (91.000); 69.0 (91.000); 71.0 (91.000); 72.0 (91.000); 33.0 (84.000); 131.0 (84.000); 105.0 (77.000); 106.0 (77.000); 119.0 (77.000); 48.0 (76.000); 50.0 (76.000); 53.0 (76.000); 47.0 (76.000); 66.0 (74.000); 122.0 (65.000); 124.0 (65.000); 155.0 (59.000); 172.0 (59.000); 177.0 (46.000); 181.0 (46.000); 189.0 (46.000); 190.0 (43.000); 200.0 (43.000); 201.0 (43.000); 204.0 (43.000); 213.0 (40.000)
2004,7,College Dropout Era,Talks about car crash trauma,personal,grief,3,MTV,"injury, recovery, perseverance, faith","['injury', 'recovery', 'perseverance', 'faith']","['injury', 'recovery', 'perseverance', 'faith']","[{'track': np.float64(135.0), 'coef': 84.0}, {'track': np.float64(22.0), 'coef': 84.0}, {'track': np.float64(6.0), 'coef': 81.0}, {'track': np.float64(18.0), 'coef': 81.0}, {'track': np.float64(19.0), 'coef': 81.0}, {'track': np.float64(7.0), 'coef': 81.0}, {'track': np.float64(102.0), 'coef': 77.0}, {'track': np.float64(112.0), 'coef': 77.0}, {'track': np.float64(121.0), 'coef': 77.0}, {'track': np.float64(44.0), 'coef': 76.0}, {'track': np.float64(58.0), 'coef': 74.0}, {'track': np.float64(126.0), 'coef': 65.0}, {'track': np.float64(149.0), 'coef': 59.0}, {'track': np.float64(152.0), 'coef': 59.0}, {'track': np.float64(157.0), 'coef': 59.0}, {'track': np.float64(162.0), 'coef': 59.0}, {'track': np.float64(170.0), 'coef': 59.0}, {'track': np.float64(137.0), 'coef': 54.0}, {'track': np.float64(143.0), 'coef': 54.0}, {'track': np.float64(146.0), 'coef': 54.0}, {'track': np.float64(186.0), 'coef': 46.0}]",21,68.61904761904762,74.0,46.0,84.0,"injury, recovery, perseverance, faith",135.0 (84.000); 22.0 (84.000); 6.0 (81.000); 18.0 (81.000); 19.0 (81.000); 7.0 (81.000); 102.0 (77.000); 112.0 (77.000); 121.0 (77.000); 44.0 (76.000); 58.0 (74.000); 126.0 (65.000); 149.0 (59.000); 152.0 (59.000); 157.0 (59.000); 162.0 (59.000); 170.0 (59.000); 137.0 (54.000); 143.0 (54.000); 146.0 (54.000); 186.0 (46.000)
2004,8,College Dropout Era,Jesus Walks wins VMA,music,joy,5,VMA,"struggle, redemption, surrender","['struggle', 'redemption', 'surrender']","['struggle', 'redemption', 'surrender']","[{'track': np.float64(68.0), 'coef': 91.0}, {'track': np.float64(130.0), 'coef': 84.0}, {'track': np.float64(135.0), 'coef': 84.0}, {'track': np.float64(7.0), 'coef': 81.0}, {'track': np.float64(121.0), 'coef': 77.0}, {'track': np.float64(87.0), 'coef': 74.0}, {'track': np.float64(90.0), 'coef': 74.0}, {'track': np.float64(126.0), 'coef': 65.0}, {'track': np.float64(151.0), 'coef': 59.0}, {'track': np.float64(168.0), 'coef': 59.0}, {'track': np.float64(167.0), 'coef': 59.0}, {'track': np.float64(160.0), 'coef': 59.0}, {'track': np.float64(149.0), 'coef': 59.0}, {'track': np.float64(145.0), 'coef': 54.0}, {'track': np.float64(144.0), 'coef': 54.0}, {'track': np.float64(142.0), 'coef': 54.0}, {'track': np.float64(175.0), 'coef': 46.0}, {'track': np.float64(186.0), 'coef': 46.0}, {'track': np.float64(187.0), 'coef': 46.0}, {'track': np.float64(191.0), 'coef': 43.0}, {'track': np.float64(202.0), 'coef': 43.0}, {'track': np.float64(203.0), 'coef': 43.0}, {'track': np.float64(216.0), 'coef': 40.0}]",23,60.608695652173914,59.0,40.0,91.0,"struggle, redemption, surrender",68.0 (91.000); 130.0 (84.000); 135.0 (84.000); 7.0 (81.000); 121.0 (77.000); 87.0 (74.000); 90.0 (74.000); 126.0 (65.000); 151.0 (59.000); 168.0 (59.000); 167.0 (59.000); 160.0 (59.000); 149.0 (59.000); 145.0 (54.000); 144.0 (54.000); 142.0 (54.000); 175.0 (46.000); 186.0 (46.000); 187.0 (46.000); 191.0 (43.000); 202.0 (43.000); 203.0 (43.000); 216.0 (40.000)
2004,9,College Dropout Era,Rise in media attention,public,neutral,2,Guardian,"chaos, fame, consequences","['chaos', 'fame', 'consequences']","['chaos', 'fame', 'consequences']","[{'track': np.float64(67.0), 'coef': 91.0}, {'track': np.float64(69.0), 'coef': 91.0}, {'track': np.float64(71.0), 'coef': 91.0}, {'track': np.float64(33.0), 'coef': 84.0}, {'track': np.float64(129.0), 'coef': 84.0}, {'track': np.float64(105.0), 'coef': 77.0}, {'track': np.float64(119.0), 'coef': 77.0}, {'track': np.float64(109.0), 'coef': 77.0}, {'track': np.float64(106.0), 'coef': 77.0}, {'track': np.float64(50.0), 'coef': 76.0}, {'track': np.float64(53.0), 'coef': 76.0}, {'track': np.float64(87.0), 'coef': 74.0}, {'track': np.float64(66.0), 'coef': 74.0}, {'track': np.float64(181.0), 'coef': 46.0}, {'track': np.float64(199.0), 'coef': 43.0}, {'track': np.float64(200.0), 'coef': 43.0}, {'track': np.float64(201.0), 'coef': 43.0}, {'track': np.float64(209.0), 'coef': 40.0}, {'track': np.float64(213.0), 'coef': 40.0}]",19,68.63157894736842,76.0,40.0,91.0,"chaos, fame, consequences",67.0 (91.000); 69.0 (91.000); 71.0 (91.000); 33.0 (84.000); 129.0 (84.000); 105.0 (77.000); 119.0 (77.000); 109.0 (77.000); 106.0 (77.000); 50.0 (76.000); 53.0 (76.000); 87.0 (74.000); 66.0 (74.000); 181.0 (46.000); 199.0 (43.000); 200.0 (43.000); 201.0 (43.000); 209.0 (40.000); 213.0 (40.000)
2004,10,College Dropout Era,First controversies begin,public,chaotic,3,NYTimes,"conflict, reputation, pressure","['conflict', 'reputation', 'pressure']","['conflict', 'reputation', 'pressure']","[{'track': np.float64(30.0), 'coef': 84.0}, {'track': np.float64(33.0), 'coef': 84.0}, {'track': np.float64(41.0), 'coef': 84.0}, {'track': np.float64(56.0), 'coef': 74.0}, {'track': np.float64(91.0), 'coef': 74.0}, {'track': np.float64(148.0), 'coef': 59.0}, {'track': np.float64(154.0), 'coef': 59.0}, {'track': np.float64(156.0), 'coef': 59.0}, {'track': np.float64(170.0), 'coef': 59.0}, {'track': np.float64(138.0), 'coef': 54.0}, {'track': np.float64(189.0), 'coef': 46.0}, {'track': np.float64(193.0), 'coef': 43.0}, {'track': np.float64(198.0), 'coef': 43.0}]",13,63.23076923076923,59.0,43.0,84.0,"conflict, reputation, pressure",30.0 (84.000); 33.0 (84.000); 41.0 (84.000); 56.0 (74.000); 91.0 (74.000); 148.0 (59.000); 154.0 (59.000); 156.0 (59.000); 170.0 (59.000); 138.0 (54.000); 189.0 (46.000); 193.0 (43.000); 198.0 (43.000)
