year,month,date,rolling_15m
2004,1,2004-01-01,67.4301299838362
2004,2,2004-02-01,67.4301299838362
2004,3,2004-03-01,54.77082683311965
2004,4,2004-04-01,52.2133024165064
2004,5,2004-05-01,50.678787766538456
2004,6,2004-06-01,49.22951984742121
2004,7,2004-07-01,46.51468859066316
2004,8,2004-08-01,44.77339894245672
2004,9,2004-09-01,44.51498928509852
2004,10,2004-10-01,43.399713511417644
2004,11,2004-11-01,43.50344220734937
2004,12,2004-12-01,43.73923866524054
2005,1,2005-01-01,41.43906071770066
2005,2,2005-02-01,40.983774228228484
2005,3,2005-03-01,41.74430505087875
2005,4,2005-04-01,40.0955380803055
2005,5,2005-05-01,38.679102063609186
2005,6,2005-06-01,39.18477816716862
2005,7,2005-07-01,38.982807878755395
2005,8,2005-08-01,40.508767933233365
2005,9,2005-09-01,39.998353201178965
2005,10,2005-10-01,40.81315393292017
2005,11,2005-11-01,40.793330192588435
2005,12,2005-12-01,39.284283579827665
2006,1,2006-01-01,39.47060421977085
2006,2,2006-02-01,38.45275937263024
2006,3,2006-03-01,37.588041495713334
2006,4,2006-04-01,38.81804749256756
2006,5,2006-05-01,39.15244705962068
2006,6,2006-06-01,38.20678352330912
2006,7,2006-07-01,37.80887807465907
2006,8,2006-08-01,37.56527245829763
2006,9,2006-09-01,37.95172602552297
2006,10,2006-10-01,37.95172602552298
2006,11,2006-11-01,36.31676882429658
2006,12,2006-12-01,34.85319497259681
2007,1,2007-01-01,34.7862994593279
2007,2,2007-02-01,34.87300252642349
2007,3,2007-03-01,36.08686493739735
2007,4,2007-04-01,34.91936291506763
2007,5,2007-05-01,36.00991096557543
2007,6,2007-06-01,36.850722695679636
2007,7,2007-07-01,36.20559647599365
2007,8,2007-08-01,35.003753965532574
2007,9,2007-09-01,35.43758202386162
2007,10,2007-10-01,34.59376449188782
2007,11,2007-11-01,34.831090398401976
2007,12,2007-12-01,33.91035881803358
2008,1,2008-01-01,33.45512653686936
2008,2,2008-02-01,33.45512653686936
2008,3,2008-03-01,34.85642662184416
2008,4,2008-04-01,33.63924885927713
2008,5,2008-05-01,33.1107806393238
2008,6,2008-06-01,32.7879898330081
2008,7,2008-07-01,33.47347691404226
2008,8,2008-08-01,32.39262711423033
2008,9,2008-09-01,31.174711381786985
2008,10,2008-10-01,32.56352403898739
2008,11,2008-11-01,33.33888109969322
2008,12,2008-12-01,32.1217033371262
2009,1,2009-01-01,32.53277582895369
2009,2,2009-02-01,33.07602114567524
2009,3,2009-03-01,32.88184401720389
2009,4,2009-04-01,32.78752551186708
2009,5,2009-05-01,32.219343607342736
2009,6,2009-06-01,32.710414777683944
2009,7,2009-07-01,34.05720061500672
2009,8,2009-08-01,35.14689453942044
2009,9,2009-09-01,36.03435350659224
2009,10,2009-10-01,36.29791347852491
2009,11,2009-11-01,36.25085590105792
2009,12,2009-12-01,35.080941184714824
2010,1,2010-01-01,35.482721376363955
2010,2,2010-02-01,36.37138654829486
2010,3,2010-03-01,37.005359399425394
2010,4,2010-04-01,38.0302393165919
2010,5,2010-05-01,35.75514456317033
2010,6,2010-06-01,36.9966426061409
2010,7,2010-07-01,37.60234130467045
2010,8,2010-08-01,37.674924076195076
2010,9,2010-09-01,38.156894686165245
2010,10,2010-10-01,36.971916242677416
2010,11,2010-11-01,37.27797704677038
2010,12,2010-12-01,36.192634276866116
2011,1,2011-01-01,35.22476151161838
2011,2,2011-02-01,36.48404946838614
2011,3,2011-03-01,38.91309763954837
2011,4,2011-04-01,38.82130452192712
2011,5,2011-05-01,37.29716727240928
2011,6,2011-06-01,36.96093709584283
2011,7,2011-07-01,37.013372802587874
2011,8,2011-08-01,38.56331294584836
2011,9,2011-09-01,38.413811721531665
2011,10,2011-10-01,37.849204553411596
2011,11,2011-11-01,36.64672510550558
2011,12,2011-12-01,34.878659314357456
2012,1,2012-01-01,35.9846391949461
2012,2,2012-02-01,35.662999314743296
2012,3,2012-03-01,36.403470902177645
2012,4,2012-04-01,36.40347090217765
2012,5,2012-05-01,36.14445172379029
2012,6,2012-06-01,35.19178509260217
2012,7,2012-07-01,35.00726836400847
2012,8,2012-08-01,35.44199875465396
2012,9,2012-09-01,36.25787331338134
2012,10,2012-10-01,35.22897142142316
2012,11,2012-11-01,35.43094170983639
