,album_title,artist,labels,genres,critic_score,user_score,album_length,track_number,track_title,track_length,featured_artists,track_rating,track_rating_count,release_date_clean,year_x,album,year_y,theme,emotions,emotions_clean,avg_valence,avg_arousal,mania_index,depression_index,avg_valence_y,avg_arousal_y,mania_index_y,depression_index_y,track_emo_score,track_emo_score_v2
0,The College Dropout,Kanye West,"Def Jam, Roc-A-Fella","Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,"1 hour, 16 minutes",1,Intro,00:19,,78,1884,10.02.2004,2004,The College Dropout,2004.0,['intro'],['inspiration'],['inspiration'],80.0,90.0,117.00000000000001,10.999999999999998,80.0,90.0,117.00000000000001,10.999999999999998,147.84,60.68000000000001
1,The College Dropout,Kanye West,"Def Jam, Roc-A-Fella","Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,"1 hour, 16 minutes",2,We Don't Care,03:59,,93,4522,10.02.2004,2004,The College Dropout,2004.0,"['enjoying the moment', ' drugs', ' propaganda', ' carefree time', ' risky life', ' early death', ' recklessness']","['inspiration', ' happiness']","['inspiration', 'happiness']",72.3076923076923,65.0,79.50000000000001,23.5,72.3076923076923,65.0,79.50000000000001,23.5,22.054153846153845,44.401153846153846
2,The College Dropout,Kanye West,"Def Jam, Roc-A-Fella","Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,"1 hour, 16 minutes",3,Graduation Day,01:21,,82,2328,10.02.2004,2004,The College Dropout,2004.0,"['college expulsion', ' drug propaganda']","['anger', ' injustice']","['anger', 'injustice']",35.689655172413794,72.5,86.125,39.1875,35.689655172413794,72.5,86.125,39.1875,11.653805172413795,67.4301299838362
3,The College Dropout,Kanye West,"Def Jam, Roc-A-Fella","Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,"1 hour, 16 minutes",4,All Falls Down,03:43,Syleena Johnson,96,4622,10.02.2004,2004,The College Dropout,2004.0,"['materialism', ' personality inferiority', ' social problems']","['resentment', ' hatred']","['resentment', 'hatred']",18.095238095238095,52.5,69.25000000000001,61.00000000000001,18.095238095238095,52.5,69.25000000000001,61.00000000000001,-1.8274285714285716,25.629758928571437
4,The College Dropout,Kanye West,"Def Jam, Roc-A-Fella","Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,"1 hour, 16 minutes",5,I'll Fly Away,01:09,,83,2437,10.02.2004,2004,The College Dropout,2004.0,"['spiritual transformation', ' liberation', ' search for faith', ' search for meaning']","['thoughtfulness', ' peace']","['thoughtfulness', 'peace']",42.5,45.0,50.62500000000001,44.56249999999999,42.5,45.0,50.62500000000001,44.56249999999999,-1.7824500000000005,5.737707031250013
5,The College Dropout,Kanye West,"Def Jam, Roc-A-Fella","Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,"1 hour, 16 minutes",6,Spaceship,05:24,"GLC, Consequence",94,4490,10.02.2004,2004,The College Dropout,2004.0,"['aspiration', ' finding your place', ' labour', ' nostalgia', ' fantasies']","['fatigue', ' dreaminess', ' anger']","['fatigue', 'dreaminess', 'anger']",47.2972972972973,61.666666666666664,76.00000000000001,32.083333333333336,47.2972972972973,61.666666666666664,76.00000000000001,32.083333333333336,4.8631767767767755,49.027576764264275
6,The College Dropout,Kanye West,"Def Jam, Roc-A-Fella","Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,"1 hour, 16 minutes",7,Jesus Walks,03:13,,96,4517,10.02.2004,2004,The College Dropout,2004.0,"['spirituality', ' faith', ' god', ' sinners', ' drugs', ' poverty']","['sadness', ' thoughtfulness', ' misunderstanding']","['sadness', 'thoughtfulness', 'misunderstanding']",45.833333333333336,50.0,55.25000000000001,39.791666666666664,45.833333333333336,50.0,55.25000000000001,39.791666666666664,-0.0,15.52656770833334
7,The College Dropout,Kanye West,"Def Jam, Roc-A-Fella","Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,"1 hour, 16 minutes",8,Never Let Me Down,05:24,"JAY-Z, J. Ivy",91,4350,10.02.2004,2004,The College Dropout,2004.0,"['resilience', ' faith', ' struggle', ' racism', ' poverty', ' niggas']","['optimism', ' misunderstanding', ' injustice', ' determination']","['optimism', 'misunderstanding', 'injustice', 'determination']",52.02127659574468,58.75,68.1875,34.65625,52.02127659574468,58.75,68.1875,34.65625,3.6455441489361693,34.84575762549867
8,The College Dropout,Kanye West,"Def Jam, Roc-A-Fella","Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,"1 hour, 16 minutes",9,Get Em High,04:49,"Talib Kweli, Common",86,4256,10.02.2004,2004,The College Dropout,2004.0,"['girl', ' rep', ' support']","['overconfidence', ' uncertainty', ' euphoria']","['overconfidence', 'uncertainty', 'euphoria']",83.19148936170212,78.33333333333333,104.33333333333333,10.083333333333332,83.19148936170212,78.33333333333333,104.33333333333333,10.083333333333332,84.64646430260044,49.32550827423167
9,The College Dropout,Kanye West,"Def Jam, Roc-A-Fella","Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,"1 hour, 16 minutes",10,Workout Plan,00:46,,74,1904,10.02.2004,2004,The College Dropout,2004.0,"['self-improvement', ' success', ' aspiration', ' laziness', ' procrastination', ' motivation']","['\xa0playfulness', ' excitement', ' flirtiness']","['playfulness', 'excitement', 'flirtiness']",69.19354838709677,51.666666666666664,61.583333333333336,23.70833333333334,69.19354838709677,51.666666666666664,61.583333333333336,23.70833333333334,1.1161899641577038,25.153598734318997
10,The College Dropout,Kanye West,"Def Jam, Roc-A-Fella","Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,"1 hour, 16 minutes",11,The New Workout Plan,05:22,,88,4334,10.02.2004,2004,The College Dropout,2004.0,"['status', ' consumerism', ' money']","['energy', ' humor', ' empowerment']","['energy', 'humor', 'empowerment']",69.51612903225806,51.666666666666664,61.75000000000001,23.791666666666664,69.51612903225806,51.666666666666664,61.75000000000001,23.791666666666664,1.1335825567502968,25.1088608310932
11,The College Dropout,Kanye West,"Def Jam, Roc-A-Fella","Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,"1 hour, 16 minutes",12,Slow Jamz,05:16,"Twista, Jamie Foxx",94,4407,10.02.2004,2004,The College Dropout,2004.0,"['nostalgia', ' R&B', ' romance']","['boastfulness', ' romance']","['boastfulness', 'romance']",45.0,65.0,74.75,37.125,45.0,65.0,74.75,37.125,7.0254,46.898203124999995
12,The College Dropout,Kanye West,"Def Jam, Roc-A-Fella","Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,"1 hour, 16 minutes",13,Breathe In Breathe Out,04:06,Ludacris,83,4205,10.02.2004,2004,The College Dropout,2004.0,['sex'],['aggressive'],['aggressive'],60.0,60.0,66.0,27.999999999999996,60.0,60.0,66.0,27.999999999999996,7.302400000000002,34.986
13,The College Dropout,Kanye West,"Def Jam, Roc-A-Fella","Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,"1 hour, 16 minutes",14,School Spirit Skit 1,01:18,,78,1834,10.02.2004,2004,The College Dropout,2004.0,"['study', ' drugs', ' work', ' money']","['confidence', ' frustration', ' irony']","['confidence', 'frustration', 'irony']",65.17241379310344,48.333333333333336,57.99999999999999,29.916666666666657,65.17241379310344,48.333333333333336,57.99999999999999,29.916666666666657,0.6343867177522341,16.744670737547896
14,The College Dropout,Kanye West,"Def Jam, Roc-A-Fella","Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,"1 hour, 16 minutes",15,School Spirit,03:02,,85,4064,10.02.2004,2004,The College Dropout,2004.0,"['rap', ' gangsters']","['cool', ' aggressive']","['cool', 'aggressive']",57.857142857142854,52.5,56.625,31.437499999999996,57.857142857142854,52.5,56.625,31.437499999999996,0.8067214285714285,19.812012834821434
15,The College Dropout,Kanye West,"Def Jam, Roc-A-Fella","Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,"1 hour, 16 minutes",16,School Spirit Skit 2,00:43,,77,1822,10.02.2004,2004,The College Dropout,2004.0,"['education', ' self-development', ' books']",['smart'],['smart'],60.0,80.0,88.00000000000001,24.0,60.0,80.0,88.00000000000001,24.0,54.432,60.84
16,The College Dropout,Kanye West,"Def Jam, Roc-A-Fella","Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,"1 hour, 16 minutes",17,Lil Jimmy Skit,00:53,,80,1892,10.02.2004,2004,The College Dropout,2004.0,"['family', ' responsibility', ' education']","['sadness', ' sympathy', ' hope']","['sadness', 'sympathy', 'hope']",68.33333333333333,50.0,59.166666666666664,23.749999999999996,68.33333333333333,50.0,59.166666666666664,23.749999999999996,0.0,22.27968750000001
17,The College Dropout,Kanye West,"Def Jam, Roc-A-Fella","Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,"1 hour, 16 minutes",18,Two Words,04:26,"Mos Def, Freeway, The Boys Choir of Harlem",95,4361,10.02.2004,2004,The College Dropout,2004.0,"['inequality', ' police brutality', ' freedom', ' racism', ' blame']","['outrage', ' resentment', ' aggression', ' injustice']","['outrage', 'resentment', 'aggression', 'injustice']",27.583333333333332,75.0,93.4375,44.09375,27.583333333333332,75.0,93.4375,44.09375,9.135612500000002,78.1912236328125
18,The College Dropout,Kanye West,"Def Jam, Roc-A-Fella","Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,"1 hour, 16 minutes",19,Through the Wire,03:41,,97,4523,10.02.2004,2004,The College Dropout,2004.0,"['injury', ' recovery', ' perseverance', ' faith']","['love', ' pain', ' inspiration']","['love', 'pain', 'inspiration']",78.55555555555556,75.0,96.41666666666667,13.624999999999998,78.55555555555556,75.0,96.41666666666667,13.624999999999998,61.727977777777774,48.728215277777785
19,The College Dropout,Kanye West,"Def Jam, Roc-A-Fella","Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,"1 hour, 16 minutes",20,Family Business,04:38,,96,4415,10.02.2004,2004,The College Dropout,2004.0,"['family value', ' childhood', ' spiritual path', ' faith']","['love', ' nostalgia', ' happiness', ' sadness']","['love', 'nostalgia', 'happiness', 'sadness']",62.625,50.0,56.3125,29.40625,62.625,50.0,56.3125,29.40625,0.0,17.6520615234375
20,The College Dropout,Kanye West,"Def Jam, Roc-A-Fella","Chipmunk Soul, Pop Rap, Conscious Hip Hop, Neo-Soul, Spoken Word",81,91,"1 hour, 16 minutes",21,Last Call,12:40,,94,4254,10.02.2004,2004,The College Dropout,2004.0,"['criticism', ' goal achievement', ' hope', ' triumph']","['inspiration', ' calmness', ' gratitude']","['inspiration', 'calmness', 'gratitude']",69.375,80.0,109.5,24.416666666666668,69.375,80.0,109.5,24.416666666666668,71.84849999999999,60.418046874999995
21,Late Registration,Kanye West,Roc-A-Fella,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,"1 hour, 10 minutes",1,Wake Up Mr. West,00:41,,82,1662,30.08.2005,2005,Late Registration,2005.0,"['intro', ' start']","['anticipation', ' urgency', ' irritation']","['anticipation', 'urgency', 'irritation']",31.25,60.0,71.25,49.37500000000001,31.25,60.0,71.25,49.37500000000001,-1.5274999999999987,36.471093749999994
22,Late Registration,Kanye West,Roc-A-Fella,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,"1 hour, 10 minutes",2,Heard 'Em Say,03:23,Adam Levine,94,3658,30.08.2005,2005,Late Registration,2005.0,"['faith', ' hope', ' injustice', ' criticism of society']","['fear', ' uncertainty', ' childishness']","['fear', 'uncertainty', 'childishness']",59.130434782608695,76.66666666666667,102.33333333333334,24.333333333333332,59.130434782608695,76.66666666666667,102.33333333333334,24.333333333333332,46.44483091787441,61.94830917874397
23,Late Registration,Kanye West,Roc-A-Fella,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,"1 hour, 10 minutes",3,Touch the Sky,03:56,Lupe Fiasco,97,3763,30.08.2005,2005,Late Registration,2005.0,"['proof of importance', ' hard work', ' self-confidence', ' moving forward']","['confidence', ' optimism', ' perseverance']","['confidence', 'optimism', 'perseverance']",72.0,58.333333333333336,73.5,25.166666666666664,72.0,58.333333333333336,73.5,25.166666666666664,9.182814814814819,38.42844444444444
24,Late Registration,Kanye West,Roc-A-Fella,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,"1 hour, 10 minutes",4,Gold Digger,03:27,Jamie Foxx,91,3651,30.08.2005,2005,Late Registration,2005.0,"['money', ' girl', ' commercialism']","['insolence', ' contempt']","['insolence', 'contempt']",9.482758620689655,72.5,101.875,57.18749999999999,9.482758620689655,72.5,101.875,57.18749999999999,-7.709663793103449,86.11696188038795
25,Late Registration,Kanye West,Roc-A-Fella,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,"1 hour, 10 minutes",5,Skit #1,00:33,,78,1442,30.08.2005,2005,Late Registration,2005.0,['sample'],[''],[''],50.0,50.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0
26,Late Registration,Kanye West,Roc-A-Fella,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,"1 hour, 10 minutes",6,Drive Slow,04:32,"Paul Wall, GLC",90,3513,30.08.2005,2005,Late Registration,2005.0,"['fast pace of life', ' success', ' luxury', ' control']","['instructiveness', ' confidence']","['instructiveness', 'confidence']",64.44444444444444,45.0,55.00000000000001,31.999999999999996,64.44444444444444,45.0,55.00000000000001,31.999999999999996,1.1050666666666664,10.714666666666673
27,Late Registration,Kanye West,Roc-A-Fella,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,"1 hour, 10 minutes",7,My Way Home,01:43,Common,86,3209,30.08.2005,2005,Late Registration,2005.0,"['drugs', ' loneliness', ' love', ' pain']","['loneliness', ' sadness', ' pain', ' reflection']","['loneliness', 'sadness', 'pain', 'reflection']",60.46511627906977,53.75,65.375,33.125,60.46511627906977,53.75,65.375,33.125,1.7509604651162791,26.432869186046513
28,Late Registration,Kanye West,Roc-A-Fella,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,"1 hour, 10 minutes",8,Crack Music,04:30,The Game,86,3434,30.08.2005,2005,Late Registration,2005.0,"['drugs', ' addiction', ' music', ' criticism of the authorities']","['anger', ' confusion', ' annoyance']","['anger', 'confusion', 'annoyance']",27.435897435897434,65.0,79.66666666666667,48.08333333333333,27.435897435897434,65.0,79.66666666666667,48.08333333333333,-1.1563076923076925,51.979889423076926
29,Late Registration,Kanye West,Roc-A-Fella,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,"1 hour, 10 minutes",9,Roses,04:05,,95,3585,30.08.2005,2005,Late Registration,2005.0,"['grandmother', ' family', ' illness', ' materialism', ' inheritance']","['reproach', ' misunderstanding', ' anger', ' irritation', ' sadness']","['reproach', 'misunderstanding', 'anger', 'irritation', 'sadness']",29.63235294117647,68.0,82.85,44.074999999999996,29.63235294117647,68.0,82.85,44.074999999999996,2.055935011764706,59.786890147058806
30,Late Registration,Kanye West,Roc-A-Fella,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,"1 hour, 10 minutes",10,Bring Me Down,03:18,Brandy,88,3360,30.08.2005,2005,Late Registration,2005.0,"['pressure', ' criticism', ' skepticism', ' path to success', ' hate']","['self-confidence', ' decisiveness', ' aggressiveness']","['self-confidence', 'decisiveness', 'aggressiveness']",56.282051282051285,65.0,83.25,24.124999999999996,56.282051282051285,65.0,83.25,24.124999999999996,13.936846153846155,52.43108173076923
31,Late Registration,Kanye West,Roc-A-Fella,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,"1 hour, 10 minutes",11,Addiction,04:27,,87,3399,30.08.2005,2005,Late Registration,2005.0,"['sex', ' addiction', ' drugs', ' love', ' lust']","['satisfaction', ' romantic', ' out of control']","['satisfaction', 'romantic', 'out of control']",30.0,58.333333333333336,70.0,51.25000000000001,30.0,58.333333333333336,70.0,51.25000000000001,-2.044444444444444,33.06197916666667
32,Late Registration,Kanye West,Roc-A-Fella,"Pop Rap, Conscious Hip Hop, Jazz Rap, Neo-Soul, Chipmunk Soul",84,90,"1 hour, 10 minutes",12,Skit #2,00:31,,78,1414,30.08.2005,2005,Late Registration,2005.0,['sample'],[''],[''],50.0,50.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0
