tweet_id,text,favorite_count,retweet_count,user_id,user_name,user_screen_name,followers_count,cleaned_text,emotion,date,time,emotion_clean,Emotion,Valence,Arousal,Emotion_clean,TweetEmotionScore
0,I’ve been trying to do a serious interview speaking on mental health but it seems as though all members of press ar…,62540.0,5687,169686021,ye,kanyewest,29436856.0,ive trying serious interview speaking mental health seems though members press ar,Optimism,15.12.2018,13:01:50,optimism,optimism,80,65,optimism,52.629999999999995
1,we don’t need to ever be excited we need to just be,25870.0,4799,169686021,ye,kanyewest,29337530.0,dont need ever excited need,Admiration,17.09.2018,17:32:28,admiration,admiration,75,55,admiration,33.49
2,Ma$e is right about that line ... I always felt funny about that line ... Ma$e is one of my favorite rappers and I…,44699.0,3254,169686021,ye,kanyewest,30968064.0,mae right line always felt funny line mae one favorite rappers,Optimism,21.09.2020,06:56:46,optimism,optimism,80,65,optimism,53.129999999999995
3,They provided resources for me to create… they supported me …  I thank you so so much  …,18207.0,4046,169686021,,,,provided resources create supported thank much,Neutral,16.02.2016,08:08:12,neutral,neutral,50,40,neutral,-14.88
4,He passes Drakes the crib everyday,18813.0,1980,169686021,ye,kanyewest,29337530.0,passes drakes crib everyday,Confidence,14.12.2018,04:32:02,confidence,confidence,70,60,confidence,35.92000000000001
5,there is no such thing as one sides.  There’s infinite sides,23829.0,3808,169686021,ye,kanyewest,29337530.0,thing one sides theres infinite sides,Pride,30.09.2018,17:59:20,pride,pride,65,70,pride,43.54
6,WE’VE NEVER SEEN ANYTHING LIKE THIS BEFORE ... LOOK HOW ALL THE ARTIST STOOD UP     PRAISE GOD MY BROTHERS ITS TIME…,115999.0,10082,169686021,ye,kanyewest,30982337.0,weve never seen anything like look artist stood praise god brothers time,Admiration,17.09.2020,17:47:52,admiration,admiration,75,55,admiration,34.49
7,My favorite Martine Rose hoodie,12273.0,628,169686021,ye,kanyewest,30905763.0,favorite martine rose hoodie,Neutral,15.08.2020,04:16:59,neutral,neutral,50,40,neutral,-14.88
8,FAMOUS VIEWINGS IN ATLANTA TONIGHT STARTING AT WESTVIEW DRIVE SW AND LEE STREET SW @ 10:30PM   PEACHTREE STREET AND 11TH STREET NE @ 11:15PM,4820.0,2005,169686021,,,,famous viewings atlanta tonight starting westview drive sw lee street sw pm peachtree street th street ne pm,Optimism,02.07.2016,22:44:15,optimism,optimism,80,65,optimism,53.129999999999995
9,Remove worry,121741.0,37685,169686021,ye,kanyewest,29337530.0,remove worry,Neutral,29.04.2018,06:03:11,neutral,neutral,50,40,neutral,-14.38
10,Eco Village ideas,17284.0,984,169686021,ye,kanyewest,30905763.0,eco village ideas,Pride,15.08.2020,04:17:41,pride,pride,65,70,pride,44.04
11,Two years ago we had 50 million people subscribed to music streaming services around the world. Today we have 400 m…,54230.0,4132,169686021,ye,kanyewest,30970607.0,two years ago million people subscribed music streaming services around world today,Confidence,19.09.2020,18:18:33,confidence,confidence,70,60,confidence,35.92000000000001
12,HOW TO WRITE IN KANYE WEST,49169.0,5833,169686021,ye,kanyewest,32253242.0,write kanye west,Sadness,23.10.2020,00:58:47,sadness,sadness,20,40,sadness,-46.440000000000005
13,fear is the absence of love and fear is the source of all of our evil. love is the absence of fear and love is the…,132008.0,39032,169686021,ye,kanyewest,29337530.0,fear absence love fear source evil love absence fear love,Joy,10.09.2018,18:34:28,joy,joy,90,80,joy,82.72
14,When me and my mom lived in China for a year      She had the fresh jacket with the braids,75579.0,4821,169686021,ye,kanyewest,30905763.0,mom lived china year fresh jacket braids,Sadness,09.08.2020,03:52:45,sadness,sadness,20,40,sadness,-46.440000000000005
15,Been doing empty stadiums    Happy 40th birthday!!!  I love you so much,194816.0,11409,169686021,ye,kanyewest,32253242.0,empty stadiums happy th birthday love much,Neutral,21.10.2020,17:26:10,neutral,neutral,50,40,neutral,-15.88
16,21 PABLO STORES WORLDWIDE THIS WEEKEND   LOCATIONS HERE,32393.0,15551,169686021,,,,pablo stores worldwide weekend locations,Inspiration,18.08.2016,01:05:54,inspiration,inspiration,85,75,inspiration,71.77
17,I can’t wait to post another Peter Zumthor so I can say had to post one more by Zumthor ...bars,9427.0,526,169686021,ye,kanyewest,30905763.0,cant wait post another peter zumthor say post one zumthor bars,Neutral,15.08.2020,04:18:50,neutral,neutral,50,40,neutral,-14.88
18,FRANKFORD AND EAST ALLEN STREET,3936.0,885,169686021,,,,frankford east allen street,Inspiration,02.07.2016,01:58:39,inspiration,inspiration,85,75,inspiration,71.77
19,Follow your heart and find your tribe. Your tribe are people with similar passions,144997.0,42766,169686021,ye,kanyewest,29337530.0,follow heart find tribe tribe people similar passions,Admiration,29.07.2018,21:17:37,admiration,admiration,75,55,admiration,34.49
20,Bloody Dior in Wyoming hoodie,7548.0,850,169686021,ye,kanyewest,29337530.0,bloody dior wyoming hoodie,Pride,12.06.2018,22:43:04,pride,pride,65,70,pride,44.04
21,We’re putting a Yeezy office in Chicago,64490.0,6069,169686021,ye,kanyewest,29337530.0,putting yeezy office chicago,Admiration,10.09.2018,03:12:30,admiration,admiration,75,55,admiration,34.49
